region;region_es
ASIA (EX. NEAR EAST)         ;ASIA
BALTICS                            ;BÁLTICOS
C.W. OF IND. STATES ;INDIA
EASTERN EUROPE                     ;EUROPA DEL ESTE
LATIN AMER. & CARIB    ;AMÉRICA LÁTINA Y CARIBE
NEAR EAST                          ;PRÓXIMO ESTE
NORTHERN AFRICA                    ;ÁFRICA DEL NORTE
NORTHERN AMERICA                   ;AMÉRICA DEL NORTE
OCEANIA                            ;OCEANÍA
OTHER;OTROS
SUB-SAHARAN AFRICA                 ;ÁFRICA SUBSAHARIANA
WESTERN EUROPE                     ;EUROPA OCCIDENTAL
